bin_start_sec,queue_zone_id,queue_mean,queue_max
0.0,E_queue,0.0,0.0
0.0,N_queue,0.2,2.0
0.0,S_queue,0.55,2.0
0.0,W_queue,0.2,1.0
60.0,E_queue,0.2,1.0
60.0,N_queue,0.2,2.0
60.0,S_queue,0.35,3.0
60.0,W_queue,0.05,1.0
120.0,E_queue,0.15,1.0
120.0,N_queue,0.15,2.0
120.0,S_queue,1.9,4.0
120.0,W_queue,0.7,1.0
180.0,E_queue,0.05,1.0
180.0,N_queue,0.2,2.0
180.0,S_queue,1.6,4.0
180.0,W_queue,0.55,3.0
240.0,E_queue,0.25,2.0
240.0,N_queue,0.0,0.0
240.0,S_queue,2.05,3.0
240.0,W_queue,0.1,1.0
300.0,E_queue,0.35,1.0
300.0,N_queue,0.2,2.0
300.0,S_queue,1.2,2.0
300.0,W_queue,0.4,2.0
360.0,E_queue,0.25,1.0
360.0,N_queue,0.1,1.0
360.0,S_queue,1.25,3.0
360.0,W_queue,0.35,1.0
420.0,E_queue,0.6,2.0
420.0,N_queue,0.0,0.0
420.0,S_queue,0.1,1.0
420.0,W_queue,0.85,2.0
480.0,E_queue,0.0,0.0
480.0,N_queue,0.0,0.0
480.0,S_queue,0.0,0.0
480.0,W_queue,0.5,1.0
